# Catálogo Bluefishing.cl
# Formato: Nombre | Precio | Categoría | URL

ZENAQ Caña TOBIZO TC84 | $999.999 | Cañas | https://bluefishing.cl/producto/zenaq-cana-tobizo-tc84/
ZENAQ Caña MUTHOS ACCURA 95H Ocean | $799.999 | Cañas | https://bluefishing.cl/producto/zenaq-cana-muthos-accura-95h-ocean/
ZENAQ Caña MUTHOS ACCURA 100HHH | $999.999 | Cañas | https://bluefishing.cl/producto/zenaq-cana-muthos-accura-100hhh/
ZENAQ Caña MUTHOS ACCURA 100HH Type R | $1.100.000 | Cañas | https://bluefishing.cl/producto/zenaq-cana-muthos-accura-100hh-type-r/
ZENAQ Caña SINPAA SC81-80G Hiramasa | $999.990 | Cañas | https://bluefishing.cl/producto/zenaq-cana-sinpaa-sc81-80g-hiramasa/
DAIWA Carrete SOL MQ LT4000D-XH | $399.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-sol-mq-lt4000d-xh/
XESTA Caña RUNWAY 24 11MH | $299.990 | Cañas | https://bluefishing.cl/producto/xesta-cana-runway-24-11mh/
XESTA Caña RUNWAY SRF 10.3M | $359.990 | Cañas | https://bluefishing.cl/producto/xesta-cana-runway-srf-103m/
FISHBITES Carnada SQUID Longer Lasting E-Z Calamar - Rosado | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-squid-longer-lasting-e-z-calamar-rosado/
FISHBITES Carnada SHRIMP Longer Lasting E-Z Camarón - Rosado | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-shrimp-longer-lasting-e-z-camaron-rosado/
FISHBITES Carnada SHRIMP Longer Lasting E-Z Nape - Blanco | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-shrimp-longer-lasting-e-z-nape-blanco/
TSURINOYA Carrete METIS 1000 | $39.990 | Carretes | https://bluefishing.cl/producto/tsurinoya-carrete-metis-1000/
TSURINOYA Carrete METIS 4000 | $44.990 | Carretes | https://bluefishing.cl/producto/tsurinoya-carrete-metis-4000/
DAIWA Carrete EXCELER LT1000D | $139.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-exceler-lt1000d/
DAIWA Carrete EXCELER LT4000D-C | $139.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-exceler-lt4000d-c/
DAIWA Carrete EXCELER LT5000D-C | $149.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-exceler-lt5000d-c/
DAIWA Carrete EXIST LT4000D | $999.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-exist-lt4000d/
COMBO Corvinero Lenguadero 1 | $79.990 | Combos de Pesca | https://bluefishing.cl/producto/combo-corvinero-lenguadero-1/
COMBO Corvinero Lenguadero 2 | $79.990 | Combos de Pesca | https://bluefishing.cl/producto/combo-corvinero-lenguadero-2/
